,Package,Category,Reason to Discard (Where)
1,appnn,AP,Provide a feed forward neural network to predict the amyloidogenicity propensity of polypeptide sequences (DESCRIPTION file)
2,autoencoder,AP,"Provide a sparse autoencoder, an unsupervised algorithm that learns useful features from the data its given (::autoencode)"
3,BNN,RE*,"Use a feed forward neural network to perform regression. It is unclear whether it fits the form of perceptron in the scope. It states that it is intended for variable selection, although how exactly the package would be used to do so is missing. Also the source code is written in C that users of R might not understand. Performance is slow : need 100.000 iterations. (::BNNsel-examples & abstract of paper)"
4,Buddle,CL,"Did not include regression in 2019. Unfortunately, the version we tested in 2020 could not be used properly for regression either. See the examples (::TrainBuddle)"
5,cld2,XX,"Provide bindings to Google's C++ library CLD2, which detects languages using a Naïve Bayesian classifier. CLD3, which does use neural networks, is mentioned in the description (DESCRIPTION file & link to github)"
6,cld3,AP,"Bindings to Google's C++ library CLD3, which detects languages using a neural network with an experimental algorithm (DESCRIPTION file)"
7,condmixt,AP,Use neural networks to predict parameters of mixture models (DESCRIPTION file)
8,DamiaNN,RE,"Was designed specificly for training datasets from Numerai, <https://numer.ai/>. We were unable to adapt it to our datasets even after exporting functions from the interactive interface (DESCRIPTION file, help pages)"
9,deep,CL,Seem to implement a perceptron to classify data (implicitly known from choice of iris as example and in source code)
10,deepNN,RE,Another implementation of deep learning. Its input format of lists of vectors is not standard require users to understand how to use lapply or other functions to convert the format of their data. Univariate datasets can't be used with the functions and we could not manage to adapt it to 2020 code (::train).
11,DNMF,XX,Help extract features that enforce spatial locality with separability between classes in a discriminant manner (DESCRIPTION file)
12,evclass,CL,Provide an evidential neural network that outputs Dempster-Shafer mass functions (DESCRIPTION file)
13,gamlss.add,UT,Allow users to use nnet with a variety of Generalized Additive Models for Location Scale and Shape (::nn). It is not particularly appropriate for all our datasets.
14,gcForest,XX,"Based on an article with ""Towards an Alternative to Deep Neural Networks"" in its title (DESCRIPTION file)"
15,GMDH,TS,Provide GMDH type neural network algorithms for short term forecasting on a univariate time series (DESCRIPTION file)
16,GMDH2,CL,Provide GMDH type neural network algorithms for performing binary classification (DESCRIPTION file)
17,GMDHreg,RE*,"Regression using GMDH algorithms. We only managed to tested the COMBI algorithm (the most basic and first in the vignette) on the multivariate datasets. It is strangely slow on the ""easy"" datasets, mFriedman and mRef153. The convergence is relatively not good considering the ammount of layers (Title in DESCRIPTION file)"
18,gnn,AP,Out of scope: Generative moment matching networks (GMMNs) are introduced for generating quasi-random samples from multivariate models (article abstract)
19,grnn,RE,"Provide an implementation of Specht's General Regression Neural Network in 1991 (DESCRIPTION file). We could not manage to make the functions work on the multivariate datasets. ::guess, the function for predicting, only allows for 1 data at a time. Performance of General Regression Neural Networks can be seen from package yager instead."
20,hybridEnsemble,RE,Hybrid ensemble of eight different sub-ensembles (DESCRIPTION file)
21,image.libfacedetection,AP,Face detection with CNNs (DESCRIPTION file)
22,isingLenzMC,AP,Out of scope: This package provides utilities to simulate one dimensional Ising Model with Metropolis and Glauber Monte Carlo (DESCRIPTION file)
23,kerasR,RE,See section on keras
24,leabRa,RE,"Provide the local error driven and associative biologically realistic algorithm (Leabra) from O'Reilly 1996. It combines supervised and unsupervised learning, so out of scope (DESCRIPTION file)."
